aerodromo,lat,long,uf
Aero Agrícola Gaivota,-22.9805,-51.5425,PR
Aero Agrícola Sapezal,-13.5511,-58.8603,MT
Aeroagrícola Solo,-23.4471,-48.8665,SP
Aeroclube de Atibaia,-23.1281,-46.5747,SP
Aeroclube de Bento Gonçalves,-29.1473,-51.5411,RS
Aeroclube de Eldorado do Sul,-30.0507,-51.4434,RS
Aeroclube de Foz do Iguaçu,-25.3696,-54.4707,PR
Aeroclube de João Pessoa,-7.09217,-34.8417,PB
Aeroclube de Nova Iguaçu,-22.7461,-43.4642,RJ
Aeroclube de Passo Fundo,-28.2509,-52.5168,RS
Aeroclube de Rio Negrinho,-26.3207,-49.5219,SC
Aeroclube de Rondônia,-8.79415,-63.8574,RO
Aeroclube de Santa Catarina,-27.6116,-48.6732,SC
Aeroclube São José do Rio Pardo,-21.6473,-46.9282,SP
Aeródomo Novo Aripuanã,-5.11774,-60.3651,AM
Aeródromo Aerocampo,-13.6365,-57.9038,MT
Aeródromo Aeroporto Regional da Zona da Mata,-21.5131,-43.1735,MG
Aeródromo Aero Rural,-9.92088,-56.0051,MT
Aeródromo Aero Z Ferrus,0.993532,-51.1208,AP
Aeródromo Afonso Pena,-25.5293,-49.1748,PR
Aeródromo Agricenter,-22.6239,-55.5691,MS
Aeródromo Agrícola Rio Galhão,-10.4239,-46.0765,TO
Aeródromo Agropecuária Céu Aberto Ltda,-9.50103,-61.2744,MT
Aeródromo Agropecuária Nova Santana,-10.1417,-60.5479,MT
Aeródromo Agrosan,-11.3977,-58.1215,MT
Aeródromo Agrovale,-9.50436,-40.3698,BA
Aeródromo Aguinaldo Pereira Lima,-23.6746,-49.8155,PR
Aeródromo Alenquer,-1.91731,-54.7218,PA
Aeródromo Almerim,-1.47771,-52.5825,PA
Aeródromo Altamira,-3.25205,-52.2553,PA
Aeródromo Amambaí,-23.1439,-55.2077,MS
Aeródromo Amapá,2.07607,-50.8597,AP
Aeródromo Anamoim,1.78498,-67.4055,AM
Aeródromo André Maggi,-9.89865,-58.5819,MT
Aeródromo Ângelo Ponzoni,-26.9995,-51.1401,SC
Aeródromo Aparecida do Taboado,-20.0891,-51.1478,MS
Aeródromo Aparecido O. Silva,-22.0691,-48.7067,SP
Aeródromo Araguaiana,-15.7092,-51.8377,MT
Aeródromo Araguari,-18.6679,-48.1903,MG
Aerodromo Areia Branca,-7.98825,-61.0506,AM
Aeródromo Ariquemes,-9.88046,-63.0471,RO
Aeródromo Arraias,-13.0259,-46.8838,TO
Aeródromo Arroio Grande,-32.2293,-53.0561,RS
Aeródromo Associação Tocantinense de Aviação,-10.1824,-48.5455,TO
Aeródromo Auaris,4.00087,-64.5043,RR
