CD_UF,NM_UF,SG_UF,CD_MUNIC,NM_MUNIC,IDCQ0001,OCORRENCIA,CD_LQ,PREFIXO,NM_CQ,CD_AGLOM,NM_AGLOM,CD_TQ,NM_TQ,P_FCP,lat,long,,,,,,,,,,
28,SERGIPE,SE,2803500,Lagarto,1,1,2803500000011,COMUNIDADE QUILOMBOLA,22 DE NOVEMBRO,,,,,,-10.9412705554,-37.7860389957,,,,,,,,,,
23,CEARÁ,CE,2304236,Croatá,2,1,2304236000021,COMUNIDADE QUILOMBOLA,3 IRMÃOS,7,COMUNIDADE QUILOMBOLA 3 IRMÃOS,219,TRÊS IRMÃOS,,-4.43469207968259,-41.0817837249122,,,,,,,,,,
25,PARAÍBA,PB,2516805,Triunfo,3,1,2516805000031,COMUNIDADE QUILOMBOLA,40 NEGROS,,,,,01420.004576/2011-29,-6.57817788879,-38.5985404721,,,,,,,,,,
15,PARÁ,PA,1500800,Ananindeua,4,1,1500800000041,COMUNIDADE QUILOMBOLA,ABACATAL,1,COMUNIDADE QUILOMBOLA ABACATAL,,,01420.011454/2012-70,-1.42288461899994,-48.367975492773,,,,,,,,,,
15,PARÁ,PA,1500800,Ananindeua,5,1,1500800000051,COMUNIDADE QUILOMBOLA,ABACATAL AURÁ,2,COMUNIDADE QUILOMBOLA ABACATAL AURÁ,53,ABACATAL-AURÁ,,-1.421954052394,-48.3502345045,,,,,,,,,,
16,AMAPÁ,AP,1600303,Macapá,6,2,1600303000062,COMUNIDADE QUILOMBOLA,ABACATE DA PEDREIRA,,,,,,0.048509388570868,-51.0538630832722,,,,,,,,,,
16,AMAPÁ,AP,1600303,Macapá,6,1,1600303000061,COMUNIDADE QUILOMBOLA,ABACATE DA PEDREIRA,2,COMUNIDADE QUILOMBOLA ABACATE DA PEDREIRA,,,01420.002351/2015-61,0.270465499995,-50.9136157082,,,,,,,,,,
29,BAHIA,BA,2903003,Barra do Mendes,7,1,2903003000071,COMUNIDADE QUILOMBOLA,ABADE,,,,,,-11.7385644583,-42.0965991116,,,,,,,,,,
29,BAHIA,BA,2912400,Ibipeba,8,1,2912400000081,COMUNIDADE QUILOMBOLA,ABADE,,,,,,-11.7357934582,-42.0936808801,,,,,,,,,,
15,PARÁ,PA,1500107,Abaetetuba,9,1,1500107000091,COMUNIDADE QUILOMBOLA,ABAETE,,,,,,-1.73290002776,-48.8908205557,,,,,,,,,,
21,MARANHÃO,MA,2110203,Santa Rita,10,1,2110203000101,COMUNIDADE QUILOMBOLA,ABANA FOGO,,,,,01420.100075/2019-20,-3.24769744442,-44.1524031945,,,,,,,,,,
26,PERNAMBUCO,PE,2603900,Carnaíba,11,1,2603900000111,COMUNIDADE QUILOMBOLA,ABELHAS,26,COMUNIDADE QUILOMBOLA ABELHAS,,,,-7.9155605,-37.6820041737556,,,,,,,,,,
29,BAHIA,BA,2905800,Camamu,12,1,2905800000121,COMUNIDADE QUILOMBOLA,ABÓBORA,,,,,,-13.9983579305,-39.2934835852,,,,,,,,,,
35,SÃO PAULO,SP,3514809,Eldorado,13,2,3514809000132,COMUNIDADE QUILOMBOLA,ABOBRAL,,,,,01420.000578/2004-10,-24.4911783329,-48.0715346545,,,,,,,,,,
35,SÃO PAULO,SP,3514809,Eldorado,13,1,3514809000131,COMUNIDADE QUILOMBOLA,ABOBRAL,6,COMUNIDADE QUILOMBOLA ABOBRAL,313,ABOBRAL,01420.000578/2004-10,-24.4871850689,-48.0836074944,,,,,,,,,,
52,GOIÁS,GO,5214903,Nova Roma,14,1,5214903000141,COMUNIDADE QUILOMBOLA,ABOBREIRA,5,COMUNIDADE QUILOMBOLA ABOBREIRA,,,01420.001558/2007-17,-13.4502740832,-47.1049005569,,,,,,,,,,
27,ALAGOAS,AL,2709152,Teotônio Vilela,15,1,2709152000151,COMUNIDADE QUILOMBOLA,ABOBREIRA,10,COMUNIDADE QUILOMBOLA ABOBREIRAS,282,ABOBREIRAS,01420.002213/2009-34,-9.99129711098,-36.3749300423,,,,,,,,,,
51,MATO GROSSO,MT,5107800,Santo Antônio de Leverger,16,1,5107800000161,COMUNIDADE QUILOMBOLA,ABOLIÇÃO,,,,,,-15.7764916527,-55.587459141,,,,,,,,,,
31,MINAS GERAIS,MG,3128204,Guaraciaba,17,1,3128204000171,COMUNIDADE QUILOMBOLA,ABRE CAMPO,3,COMUNIDADE QUILOMBOLA ABRE CAMPO,,,,-20.530363833,-42.9794733933,,,,,,,,,,
31,MINAS GERAIS,MG,3106507,Berilo,18,1,3106507000181,COMUNIDADE QUILOMBOLA,ABREU,,,,,,-16.9492376664,-42.4575911455,,,,,,,,,,
29,BAHIA,BA,2906006,Campo Formoso,19,1,2906006000191,COMUNIDADE QUILOMBOLA,ABREUS,10,AGRUPAMENTO QUILOMBOLA ABREUS,,,,-10.0116439721,-40.6911947758,,,,,,,,,,
15,PARÁ,PA,1505304,Oriximiná,20,1,1505304000201,COMUNIDADE QUILOMBOLA,ABUÍ,,,,,01420.008337/2011-48,-1.74523383332,-55.8595629446,,,,,,,,,,
15,PARÁ,PA,1505304,Oriximiná,21,1,1505304000211,COMUNIDADE QUILOMBOLA,ABUÍ GRANDE,,,,,,-1.77318640277,-55.8546826529,,,,,,,,,,
15,PARÁ,PA,1505304,Oriximiná,22,1,1505304000221,COMUNIDADE QUILOMBOLA,ABUÍ, PARANÁ ABUÍ, TAPAGEM, SAGRADO CORAÇÃO,,,,,,-1.7535285972,-55.8500742356,,,,,,,
43,RIO GRANDE DO SUL,RS,4306700,Dona Francisca,23,1,4306700000231,COMUNIDADE QUILOMBOLA,ACÁCIO FLORES,1,COMUNIDADE QUILOMBOLA ACÁCIO FLORES,,,,-29.6203660579502,-53.3548708859503,,,,,,,,,,
43,RIO GRANDE DO SUL,RS,4306700,Dona Francisca,23,2,4306700000232,COMUNIDADE QUILOMBOLA,ACÁCIO FLORES,,,,,01420101559/2020-20,-29.621712083,-53.3525096008,,,,,,,,,,
15,PARÁ,PA,1501204,Baião,24,1,1501204000241,COMUNIDADE QUILOMBOLA,AÇAIZAL,,,,,,-2.8041579722,-49.668452278,,,,,,,,,,
15,PARÁ,PA,1505304,Oriximiná,25,1,1505304000251,COMUNIDADE QUILOMBOLA,ACAPU,,,46,EREPECURU,01420.007674/2013-80,-1.26228727777,-56.1459905416,,,,,,,,,,
15,PARÁ,PA,1504703,Moju,26,1,1504703000261,COMUNIDADE QUILOMBOLA,ACARÁ,,,,,,-1.98166902777,-48.5989850834,,,,,,,,,,
29,BAHIA,BA,2920700,Maraú,27,1,2920700000271,COMUNIDADE QUILOMBOLA,ACARAÍ,,,,,,-13.9027691944,-38.9567892488,,,,,,,,,,
29,BAHIA,BA,2905800,Camamu,28,1,2905800000281,COMUNIDADE QUILOMBOLA,ACARAÍ,3,COMUNIDADE QUILOMBOLA ACARAÍ,,,01420.001402/2007-28,-13.9720271681029,-39.1356547914999,,,,,,,,,,
15,PARÁ,PA,1500107,Abaetetuba,29,1,1500107000291,COMUNIDADE QUILOMBOLA,ACARAQUI,,,29,ALTO ITACURUÇÁ, BAIXO ITACURUÇÁ, BOM REMÉDIO,01420.008228/2012-10,-1.77776830552,-48.9062971529,,,,,,,,
35,SÃO PAULO,SP,3509908,Cananéia,30,1,3509908000301,COMUNIDADE QUILOMBOLA,ACARAÚ,,,,,01420.001453/2005-98, 01420.001455/2005-87,-25.015130861,-47.9366054418,,,,,,,,,
29,BAHIA,BA,2921500,Monte Santo,31,1,2921500000311,COMUNIDADE QUILOMBOLA,ACARU,,,,,,-10.2642647777,-39.3718829731,,,,,,,,,,
