CD_UF,NM_UF,SG_UF,CD_MUNIC,NM_MUNIC,IDCQ0001,OCORRENCIA,CD_LQ,PREFIXO,NM_CQ,CD_AGLOM,NM_AGLOM,CD_TQ,NM_TQ,P_FCP,Lat_d,Long_d,
31,MINAS GERAIS,MG,3128204,Guaraciaba,17,1,3128204000171,COMUNIDADE QUILOMBOLA,ABRE CAMPO,3,COMUNIDADE QUILOMBOLA ABRE CAMPO,,,,-20.5304,-42.9795,
31,MINAS GERAIS,MG,3106507,Berilo,18,1,3106507000181,COMUNIDADE QUILOMBOLA,ABREU,,,,,,-16.9492,-42.4576,
31,MINAS GERAIS,MG,3158953,Santana do Paraíso,34,1,3158953000341,COMUNIDADE QUILOMBOLA,ACHADO DE CIMA,10,COMUNIDADE QUILOMBOLA ACHADO DE CIMA,,,01420.100186/2021-51,-19.3669,-42.6425,
31,MINAS GERAIS,MG,3134608,Jaboticatubas,44,1,3134608000441,COMUNIDADE QUILOMBOLA,AÇUDE,8,COMUNIDADE QUILOMBOLA AÇUDE,,,01420.000134/2006-46,-19.3506,-43.6551,
31,MINAS GERAIS,MG,3162401,São João da Ponte,56,1,3162401000561,COMUNIDADE QUILOMBOLA,AGRESTE,4,COMUNIDADE QUILOMBOLA AGRESTE,,,01420.011139/2012-42,-15.9503,-43.6530,
31,MINAS GERAIS,MG,3169901,Ubá,64,1,3169901000641,COMUNIDADE QUILOMBOLA,AGROCERES,9,COMUNIDADE QUILOMBOLA NAMASTÊ,,,,-21.1126,-42.9261,
31,MINAS GERAIS,MG,3148608,Peçanha,69,1,3148608000691,COMUNIDADE QUILOMBOLA,ÁGUA BRANCA E JORGES,,,,,01420.100946/2017-43,-18.6421,-42.5200,
31,MINAS GERAIS,MG,3106507,Berilo,78,1,3106507000781,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,,-16.9550,-42.4634,
31,MINAS GERAIS,MG,3116100,Chapada do Norte,80,1,3116100000801,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,,-17.0485,-42.4505,
31,MINAS GERAIS,MG,3160207,Santo Antônio do Itambé,81,1,3160207000811,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,,-18.4913,-43.1903,
31,MINAS GERAIS,MG,3135100,Janaúba,82,1,3135100000821,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,,-15.8013,-43.3474,
31,MINAS GERAIS,MG,3146206,Ouro Verde de Minas,83,2,3146206000832,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,,,,,01420.001095/2007-85,-17.9995,-41.2630,
31,MINAS GERAIS,MG,3146206,Ouro Verde de Minas,83,1,3146206000831,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA,2,COMUNIDADE QUILOMBOLA ÁGUA LIMPA,,,01420.001096/2007-20,-18.0926,-41.3228,
31,MINAS GERAIS,MG,3106507,Berilo,85,2,3106507000852,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA DE BAIXO,,,,,01420.002063/2006-16,-16.9576,-42.4609,
31,MINAS GERAIS,MG,3106507,Berilo,85,1,3106507000851,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA DE BAIXO,13,COMUNIDADE QUILOMBOLA ÁGUA LIMPA DE BAIXO,,,01420.002063/2006-16,-16.9863,-42.4634,
31,MINAS GERAIS,MG,3106507,Berilo,86,1,3106507000861,COMUNIDADE QUILOMBOLA,ÁGUA LIMPA DE CIMA,14,COMUNIDADE QUILOMBOLA ÁGUA LIMPA DE CIMA,,,01420.002045/2006-34,-17.0248,-42.4591,
31,MINAS GERAIS,MG,3104700,Ataléia,89,1,3104700000891,COMUNIDADE QUILOMBOLA,ÁGUA PRETA,4,COMUNIDADE QUILOMBOLA ÁGUA PRETA,,,,-18.0015,-41.2281,
31,MINAS GERAIS,MG,3146206,Ouro Verde de Minas,91,1,3146206000911,COMUNIDADE QUILOMBOLA,ÁGUA PRETA DE BAIXO,,,,,01420.002751/2005-03,-18.0642,-41.2680,
31,MINAS GERAIS,MG,3146206,Ouro Verde de Minas,92,1,3146206000921,COMUNIDADE QUILOMBOLA,ÁGUA PRETA DE CIMA,3,COMUNIDADE QUILOMBOLA ÁGUA PRETA DE CIMA,,,01420.001816/2006-76,-17.9813,-41.2698,
31,MINAS GERAIS,MG,3106507,Berilo,93,1,3106507000931,COMUNIDADE QUILOMBOLA,ÁGUA SUJA,,,,,,-16.9474,-42.4620,
31,MINAS GERAIS,MG,3116100,Chapada do Norte,94,1,3116100000941,COMUNIDADE QUILOMBOLA,ÁGUA SUJA,,,,,01420.101493/2022-30,-17.0391,-42.4923,
31,MINAS GERAIS,MG,3135209,Januária,98,2,3135209000982,COMUNIDADE QUILOMBOLA,ÁGUA VIVA,,,,,01420.004782/2012-10,-15.3189,-44.2676,
31,MINAS GERAIS,MG,3135209,Januária,98,1,3135209000981,COMUNIDADE QUILOMBOLA,ÁGUA VIVA,21,COMUNIDADE QUILOMBOLA ÁGUA VIVA,,,01420.004782/2012-10,-15.3168,-44.2604,
31,MINAS GERAIS,MG,3171907,Virgolândia,105,1,3171907001051,COMUNIDADE QUILOMBOLA,ÁGUAS CLARAS,,,,,01420.000963/2007-18,-18.5069,-42.2838,
31,MINAS GERAIS,MG,3148301,Paula Cândido,115,1,3148301001151,COMUNIDADE QUILOMBOLA,AIROES,,,,,,-20.8134,-42.9573,
31,MINAS GERAIS,MG,3141801,Minas Novas,120,1,3141801001201,COMUNIDADE QUILOMBOLA,ALAGADICINHO,29,COMUNIDADE QUILOMBOLA ALAGADICINHO,,,,-17.5130,-42.3419,
31,MINAS GERAIS,MG,3162252,São João da Lagoa,144,1,3162252001441,COMUNIDADE QUILOMBOLA,ALEGRE,,,,,01420.102122/2018-99,-16.8905,-44.4927,
31,MINAS GERAIS,MG,3135209,Januária,146,1,3135209001461,COMUNIDADE QUILOMBOLA,ALEGRE,,,,,01420.004753/2012-58,-15.3762,-44.2718,
31,MINAS GERAIS,MG,3135209,Januária,147,1,3135209001471,COMUNIDADE QUILOMBOLA,ALEGRE I,,,,,,-15.3676,-44.2574,
